gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000113734,0.3537,0.2814,0.2935,0.2971,0.2816,0.2048,0.2964,0.2922,0.3652,0.3112
ENSG00000113739,0.1003,0.0796,0.0859,0.0787,0.0395,0.0746,0.1339,0.1143,0.1273,0.0544
ENSG00000113742,4.8817,4.1035,3.5778,3.6196,3.5067,5.4831,4.594,3.5928,4.0321,3.7316
ENSG00000113749,0.3404,0.4679,0.6843,0.9315,0.3282,0.4257,0.2446,0.2071,0.544,0.1877
ENSG00000113758,7.1977,4.245,4.055,3.483,5.3512,2.754,3.6877,3.4401,3.5547,5.942
ENSG00000113761,1.2019,1.2747,1.0423,1.0594,1.0848,1.0988,1.1351,1.0227,1.0918,1.1714
ENSG00000113763,2.1256,0.6168,0.4977,1.1071,1.0272,0.605,0.6175,0.3132,0.6146,1.9935
ENSG00000113790,0.3451,0.2329,0.4712,0.4479,0.3269,0.2359,0.4834,0.4344,0.5868,0.2886
ENSG00000113805,0.3771,0.2797,0.2307,0.3421,0.3807,0.3256,0.3851,0.2093,0.1751,0.6298
ENSG00000113810,0.6555,1.1568,0.6227,0.5869,0.8681,1.0604,0.6315,0.8596,0.5247,0.5299
ENSG00000113811,2.1916,2.027,2.6397,2.0115,1.7073,2.0826,1.8979,2.0819,2.0315,1.6968
ENSG00000113812,0.8534,0.7998,1.0463,0.7844,0.7534,0.8637,1.0626,1.0776,0.679,0.8788
ENSG00000113838,0.6276,0.5394,0.5402,0.4376,0.6037,0.7787,0.4864,0.5508,0.4464,0.4377
ENSG00000113845,1.8527,1.7853,2.1332,1.6202,1.9257,1.9794,1.9945,2.6318,2.3495,2.0503
ENSG00000113851,1.9444,2.2678,2.5699,2.5121,2.5092,2.4643,2.9403,2.8925,2.5925,2.3986
ENSG00000113889,0.0141,0.0328,0.0165,0.0202,0.0192,0.0411,0.0165,0.0299,0.0209,0.0215
ENSG00000113905,0.1394,0.1656,0.0929,0.064,0.0899,0.172,0.0764,0.0975,0.0937,0.0823
ENSG00000113916,14.9842,13.2756,40.5044,19.5,11.9112,7.9901,10.5489,4.3528,14.853,5.2795
ENSG00000113924,0.0392,0.0299,0.126,0.0526,0.0761,0.0047,0.0412,0.0436,0.094,0.0132
ENSG00000113946,0.0154,0.0423,0.0132,0.0256,0.0156,0.0203,0.0148,0.0248,0.0197,0.0243
ENSG00000113966,0.432,0.2951,0.3494,0.5099,0.4447,0.3464,0.5248,0.4391,0.3247,0.824
ENSG00000113971,2.3286,2.8692,1.7864,1.5531,1.0146,2.4898,2.7668,2.3829,2.6536,1.5498
ENSG00000114013,0.3089,0.2558,0.6302,1.1522,0.8458,0.4767,0.4699,0.354,0.3341,0.175
ENSG00000114019,2.5683,2.9761,1.6643,1.7332,1.9108,4.6412,4.1941,4.6776,4.0072,2.6803
ENSG00000114021,1.0238,0.9076,0.9131,1.0601,0.8931,0.9444,1.0704,1.0907,0.7464,1.0224
ENSG00000114023,1.5374,1.2519,1.6424,1.985,1.0642,1.0444,1.8139,1.6856,1.6487,1.8371
ENSG00000114026,1.5974,1.7282,1.8067,1.3986,1.5048,1.481,1.5666,2.1884,1.4384,1.4739
